x y Vx Vy V V1 V2 V3 V4
-1.84e+00 -8.80e-01 -6.93e-08 -6.94e-08 +6.94e-08 +9.69e-26 +1.30e-20 +6.93e-08 +6.98e-11
-1.84e+00 -8.00e-01 -1.68e-07 -1.69e-07 +1.69e-07 +5.67e-25 +1.50e-20 +1.68e-07 +4.06e-10
-1.84e+00 -7.20e-01 -3.68e-07 -3.72e-07 +3.72e-07 +2.85e-24 +1.64e-20 +3.70e-07 +2.03e-09
-1.84e+00 -6.40e-01 -7.33e-07 -7.50e-07 +7.50e-07 +1.23e-23 +1.72e-20 +7.41e-07 +8.68e-09
-1.84e+00 -5.60e-01 -1.32e-06 -1.38e-06 +1.38e-06 +4.57e-23 +1.76e-20 +1.35e-06 +3.19e-08
-1.84e+00 -4.80e-01 -2.13e-06 -2.33e-06 +2.33e-06 +1.47e-22 +1.77e-20 +2.23e-06 +1.01e-07
-1.84e+00 -4.00e-01 -3.06e-06 -3.61e-06 +3.61e-06 +4.07e-22 +1.75e-20 +3.34e-06 +2.76e-07
-1.84e+00 -3.20e-01 -3.86e-06 -5.16e-06 +5.16e-06 +9.81e-22 +1.69e-20 +4.51e-06 +6.49e-07
-1.84e+00 -2.40e-01 -4.15e-06 -6.79e-06 +6.79e-06 +2.06e-21 +1.58e-20 +5.47e-06 +1.32e-06
-1.84e+00 -1.60e-01 -3.59e-06 -8.26e-06 +8.26e-06 +3.79e-21 +1.41e-20 +5.92e-06 +2.33e-06
-1.84e+00 -8.00e-02 -2.10e-06 -9.28e-06 +9.28e-06 +6.17e-21 +1.17e-20 +5.69e-06 +3.59e-06
-1.84e+00 +0.00e+00 +1.10e-20 -9.65e-06 +9.65e-06 +8.95e-21 +8.95e-21 +4.82e-06 +4.82e-06
-1.84e+00 +8.00e-02 +2.10e-06 -9.28e-06 +9.28e-06 +1.17e-20 +6.17e-21 +3.59e-06 +5.69e-06
-1.84e+00 +1.60e-01 +3.59e-06 -8.26e-06 +8.26e-06 +1.41e-20 +3.79e-21 +2.33e-06 +5.92e-06
-1.84e+00 +2.40e-01 +4.15e-06 -6.79e-06 +6.79e-06 +1.58e-20 +2.06e-21 +1.32e-06 +5.47e-06
-1.84e+00 +3.20e-01 +3.86e-06 -5.16e-06 +5.16e-06 +1.69e-20 +9.81e-22 +6.49e-07 +4.51e-06
-1.84e+00 +4.00e-01 +3.06e-06 -3.61e-06 +3.61e-06 +1.75e-20 +4.07e-22 +2.76e-07 +3.34e-06
-1.84e+00 +4.80e-01 +2.13e-06 -2.33e-06 +2.33e-06 +1.77e-20 +1.47e-22 +1.01e-07 +2.23e-06
-1.84e+00 +5.60e-01 +1.32e-06 -1.38e-06 +1.38e-06 +1.76e-20 +4.57e-23 +3.19e-08 +1.35e-06
-1.84e+00 +6.40e-01 +7.33e-07 -7.50e-07 +7.50e-07 +1.72e-20 +1.23e-23 +8.68e-09 +7.41e-07
-1.84e+00 +7.20e-01 +3.68e-07 -3.72e-07 +3.72e-07 +1.64e-20 +2.85e-24 +2.03e-09 +3.70e-07
-1.84e+00 +8.00e-01 +1.68e-07 -1.69e-07 +1.69e-07 +1.50e-20 +5.67e-25 +4.06e-10 +1.68e-07
-1.84e+00 +8.80e-01 +6.93e-08 -6.94e-08 +6.94e-08 +1.30e-20 +9.69e-26 +6.98e-11 +6.93e-08
-1.84e+00 +9.60e-01 +2.59e-08 -2.59e-08 +2.59e-08 +1.04e-20 +1.42e-26 +1.03e-11 +2.59e-08
-1.84e+00 +1.04e+00 +8.73e-09 -8.74e-09 +8.74e-09 +7.51e-21 +1.78e-27 +1.30e-12 +8.74e-09
-1.84e+00 +1.12e+00 +2.66e-09 -2.66e-09 +2.66e-09 +4.90e-21 +1.92e-28 +1.40e-13 +2.66e-09
-1.84e+00 +1.20e+00 +7.26e-10 -7.26e-10 +7.25e-10 +2.83e-21 +1.77e-29 +1.29e-14 +7.26e-10
-1.84e+00 +1.28e+00 +1.78e-10 -1.78e-10 +1.78e-10 +1.44e-21 +1.39e-30 +1.02e-15 +1.78e-10
-1.84e+00 +1.36e+00 +3.89e-11 -3.89e-11 +3.89e-11 +6.40e-22 +9.36e-32 +6.87e-17 +3.89e-11
-1.84e+00 +1.44e+00 +7.59e-12 -7.59e-12 +7.59e-12 +2.47e-22 +5.39e-33 +3.96e-18 +7.59e-12
-1.84e+00 +1.52e+00 +1.32e-12 -1.32e-12 +1.32e-12 +8.29e-23 +2.65e-34 +1.95e-19 +1.32e-12
-1.84e+00 +1.60e+00 +2.02e-13 -2.02e-13 +2.03e-13 +2.40e-23 +1.11e-35 +8.20e-21 +2.02e-13
-1.84e+00 +1.68e+00 +2.75e-14 -2.75e-14 +2.76e-14 +5.98e-24 +4.00e-37 +2.95e-22 +2.75e-14
