f,raw,fit
+1.37400e+03,+2.19252e-10,+3.34035e-10
+1.37800e+03,+5.90700e-10,+3.32117e-10
+1.38200e+03,+3.02969e-10,+3.30216e-10
+1.38600e+03,+3.91478e-10,+3.28331e-10
+1.39000e+03,+2.15357e-10,+3.26462e-10
+1.39400e+03,+1.56943e-10,+3.24609e-10
+1.39800e+03,+3.22222e-10,+3.22772e-10
+1.40200e+03,+3.07309e-10,+3.20950e-10
+1.40600e+03,+2.92393e-10,+3.19143e-10
+1.41000e+03,+2.06532e-10,+3.17352e-10
+1.41400e+03,+1.98254e-10,+3.15575e-10
+1.41800e+03,+2.11554e-10,+3.13814e-10
+1.42200e+03,+3.20842e-10,+3.12067e-10
+1.42600e+03,+2.67899e-10,+3.10334e-10
+1.43000e+03,+1.15718e-10,+3.08616e-10
+1.43400e+03,+2.10431e-10,+3.06912e-10
+1.43800e+03,+1.68396e-10,+3.05222e-10
+1.44200e+03,+3.40289e-10,+3.03546e-10
+1.44600e+03,+2.24053e-10,+3.01884e-10
+1.45000e+03,+2.08967e-10,+3.00235e-10
+1.45400e+03,+3.15974e-10,+2.98600e-10
+1.45800e+03,+1.33773e-10,+2.96978e-10
+1.46200e+03,+1.58427e-10,+2.95369e-10
+1.46600e+03,+2.24644e-10,+2.93773e-10
+1.47000e+03,+2.78941e-10,+2.92190e-10
+1.47400e+03,+1.43066e-10,+2.90620e-10
+1.47800e+03,+2.25482e-10,+2.89062e-10
+1.48200e+03,+4.09682e-10,+2.87517e-10
+1.48600e+03,+3.52563e-10,+2.85984e-10
+1.49000e+03,+3.40199e-10,+2.84464e-10
+1.49400e+03,+4.11992e-10,+2.82955e-10
+1.49800e+03,+3.27492e-10,+2.81458e-10
+1.50200e+03,+3.07792e-10,+2.79973e-10
+1.50600e+03,+3.38756e-10,+2.78500e-10
+1.51000e+03,+1.96505e-10,+2.77038e-10
+1.51400e+03,+3.92119e-10,+2.75588e-10
+1.51800e+03,+3.25533e-10,+2.74149e-10
+1.52200e+03,+3.10782e-10,+2.72722e-10
+1.52600e+03,+3.39896e-10,+2.71305e-10
+1.53000e+03,+1.55030e-10,+2.69900e-10
+1.53400e+03,+1.33138e-10,+2.68505e-10
+1.53800e+03,+1.89355e-10,+2.67121e-10
+1.54200e+03,+2.02669e-10,+2.65748e-10
+1.54600e+03,+1.78745e-10,+2.64385e-10
+1.55000e+03,+2.52157e-10,+2.63032e-10
+1.55400e+03,+1.75706e-10,+2.61690e-10
+1.55800e+03,+3.37741e-10,+2.60359e-10
+1.56200e+03,+2.60219e-10,+2.59037e-10
+1.56600e+03,+2.12973e-10,+2.57725e-10
+1.57000e+03,+2.48252e-10,+2.56423e-10
+1.57400e+03,+4.36515e-10,+2.55132e-10
+1.57800e+03,+2.36773e-10,+2.53849e-10
+1.58200e+03,+1.48567e-10,+2.52577e-10
+1.58600e+03,+2.62107e-10,+2.51314e-10
+1.59000e+03,+3.96015e-10,+2.50060e-10
+1.59400e+03,+2.07493e-10,+2.48816e-10
+1.59800e+03,+3.19913e-10,+2.47580e-10
+1.60200e+03,+2.49526e-10,+2.46355e-10
+1.60600e+03,+2.67184e-10,+2.45138e-10
+1.61000e+03,+2.33218e-10,+2.43930e-10
+1.61400e+03,+1.89338e-10,+2.42731e-10
+1.61800e+03,+2.24024e-10,+2.41540e-10
+1.62200e+03,+1.74184e-10,+2.40359e-10
+1.62600e+03,+3.00003e-10,+2.39186e-10
+1.63000e+03,+2.13134e-10,+2.38022e-10
+1.63400e+03,+1.63342e-10,+2.36866e-10
+1.63800e+03,+1.14395e-10,+2.35718e-10
+1.64200e+03,+2.08087e-10,+2.34579e-10
+1.64600e+03,+2.07500e-10,+2.33448e-10
+1.65000e+03,+3.12790e-10,+2.32325e-10
+1.65400e+03,+3.43931e-10,+2.31211e-10
+1.65800e+03,+2.50563e-10,+2.30104e-10
+1.66200e+03,+3.32945e-10,+2.29005e-10
+1.66600e+03,+2.09470e-10,+2.27914e-10
+1.67000e+03,+1.64189e-10,+2.26831e-10
+1.67400e+03,+9.81510e-11,+2.25755e-10
+1.67800e+03,+1.36572e-10,+2.24687e-10
+1.68200e+03,+2.24397e-10,+2.23627e-10
+1.68600e+03,+2.51349e-10,+2.22574e-10
+1.69000e+03,+3.66650e-10,+2.21528e-10
+1.69400e+03,+2.06982e-10,+2.20490e-10
+1.69800e+03,+3.71935e-10,+2.19459e-10
+1.70200e+03,+1.69653e-10,+2.18435e-10
+1.70600e+03,+8.43100e-11,+2.17419e-10
+1.71000e+03,+1.69881e-10,+2.16409e-10
+1.71400e+03,+1.66275e-10,+2.15406e-10
+1.71800e+03,+1.03807e-10,+2.14411e-10
+1.72200e+03,+1.18730e-10,+2.13422e-10
+1.72600e+03,+2.52760e-10,+2.12440e-10
+1.73000e+03,+1.59646e-10,+2.11465e-10
+1.73400e+03,+1.48907e-10,+2.10496e-10
+1.73800e+03,+1.24520e-10,+2.09534e-10
+1.74200e+03,+1.33024e-10,+2.08579e-10
